defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label	shape	shape_label
http://purl.obolibrary.org/obo/HP_0005715	Flattened knee epiphyses	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0001465	knee	http://purl.obolibrary.org/obo/PATO_0000407	flat
http://purl.obolibrary.org/obo/HP_0003843	Round epiphyses of the upper limbs	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0010708	pectoral complex	http://purl.obolibrary.org/obo/PATO_0000411	circular
http://purl.obolibrary.org/obo/HP_0009101	Submucous cleft lip	http://purl.obolibrary.org/obo/UBERON_0000009	submucosa	http://purl.obolibrary.org/obo/UBERON_0001833	lip	http://purl.obolibrary.org/obo/PATO_0001786	split
http://purl.obolibrary.org/obo/HP_0009498	Triangular epiphyses of the 2nd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003622	manual digit 2	http://purl.obolibrary.org/obo/PATO_0001875	triangular
http://purl.obolibrary.org/obo/HP_0100054	Triangular epiphyses of the 2nd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0003632	pedal digit 2	http://purl.obolibrary.org/obo/PATO_0001875	triangular
http://purl.obolibrary.org/obo/HP_0009420	Triangular epiphyses of the 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003637	manual digit 3 phalanx	http://purl.obolibrary.org/obo/PATO_0001875	triangular
http://purl.obolibrary.org/obo/HP_0100065	Triangular epiphyses of the 3rd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0003633	pedal digit 3	http://purl.obolibrary.org/obo/PATO_0001875	triangular
http://purl.obolibrary.org/obo/HP_0009403	Triangular epiphyses of the 4th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003638	manual digit 4 phalanx	http://purl.obolibrary.org/obo/PATO_0001875	triangular
http://purl.obolibrary.org/obo/HP_0100076	Triangular epiphyses of the 4th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0003634	pedal digit 4	http://purl.obolibrary.org/obo/PATO_0001875	triangular
http://purl.obolibrary.org/obo/HP_0009392	Triangular epiphyses of the 5th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003639	manual digit 5 phalanx	http://purl.obolibrary.org/obo/PATO_0001875	triangular
http://purl.obolibrary.org/obo/HP_0100087	Triangular epiphyses of the 5th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0003635	pedal digit 5	http://purl.obolibrary.org/obo/PATO_0001875	triangular
